player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,rad_win
Shadow Shaman,Monkey King,Riki,Batrider,Undying,Lycan,Spectre,Venomancer,Pudge,Witch Doctor,False
Bloodseeker,Tinker,Weaver,Earthshaker,Night Stalker,Bounty Hunter,Clockwerk,Oracle,Juggernaut,Phantom Lancer,True
Juggernaut,Outworld Devourer,Legion Commander,Crystal Maiden,Sand King,Vengeful Spirit,Sniper,Bounty Hunter,Drow Ranger,Weaver,False
Faceless Void,Monkey King,Phantom Assassin,Juggernaut,Puck,Huskar,Troll Warlord,Ursa,Legion Commander,Viper,True
Lina,Invoker,Razor,Outworld Devourer,Lifestealer,Keeper of the Light,Tinker,Faceless Void,Broodmother,Pudge,False
Warlock,Slark,Sniper,Clinkz,Tusk,Pudge,Beastmaster,Dazzle,Sven,Lina,True
Kunkka,Puck,Legion Commander,Lone Druid,Sniper,Tusk,Arc Warden,Juggernaut,Doom,Centaur Warrunner,True
Vengeful Spirit,Tidehunter,Necrophos,Phantom Assassin,Phantom Lancer,Slardar,Shadow Fiend,Enchantress,Legion Commander,Invoker,True
Shadow Shaman,Alchemist,Shadow Fiend,Sven,Necrophos,Phantom Assassin,Io,Monkey King,Dragon Knight,Faceless Void,True
Riki,Sand King,Kunkka,Shadow Fiend,Faceless Void,Centaur Warrunner,Legion Commander,Weaver,Warlock,Zeus,False
Necrophos,Chaos Knight,Invoker,Slark,Phantom Lancer,Clinkz,Skywrath Mage,Slardar,Terrorblade,Juggernaut,True
Drow Ranger,Zeus,Crystal Maiden,Ursa,Legion Commander,Magnus,Sniper,Bloodseeker,Lion,Meepo,True
Meepo,Omniknight,Skywrath Mage,Bristleback,Chaos Knight,Shadow Shaman,Luna,Legion Commander,Earthshaker,Slardar,True
Naga Siren,Lifestealer,Magnus,Ember Spirit,Bloodseeker,Huskar,Faceless Void,Anti-Mage,Mirana,Phoenix,True
Puck,Necrophos,Pugna,Doom,Slark,Silencer,Axe,Dazzle,Ember Spirit,Huskar,False
Tidehunter,Pudge,Monkey King,Puck,Chaos Knight,Faceless Void,Witch Doctor,Queen of Pain,Meepo,Bloodseeker,False
Weaver,Pudge,Witch Doctor,Luna,Meepo,Legion Commander,Phantom Assassin,Sniper,Venomancer,Nyx Assassin,True
Huskar,Necrophos,Mirana,Sniper,Jakiro,Dragon Knight,Omniknight,Tiny,Beastmaster,Morphling,True
Clinkz,Terrorblade,Silencer,Necrophos,Winter Wyvern,Broodmother,Disruptor,Keeper of the Light,Faceless Void,Night Stalker,True
Sniper,Riki,Lich,Brewmaster,Phantom Assassin,Bloodseeker,Silencer,Mirana,Viper,Axe,False
Zeus,Dark Seer,Nyx Assassin,Slark,Clinkz,Lich,Lina,Kunkka,Night Stalker,Juggernaut,True
Luna,Wraith King,Necrophos,Bloodseeker,Phoenix,Morphling,Legion Commander,Magnus,Monkey King,Kunkka,True
Spirit Breaker,Phantom Assassin,Nature's Prophet,Techies,Morphling,Lone Druid,Broodmother,Bloodseeker,Dragon Knight,Riki,True
Alchemist,Terrorblade,Legion Commander,Necrophos,Shadow Shaman,Pugna,Leshrac,Faceless Void,Tusk,Monkey King,False
Luna,Drow Ranger,Tusk,Bloodseeker,Spirit Breaker,Phoenix,Queen of Pain,Bristleback,Anti-Mage,Terrorblade,True
Silencer,Legion Commander,Axe,Shadow Fiend,Bloodseeker,Invoker,Spirit Breaker,Ogre Magi,Clinkz,Timbersaw,True
Bane,Underlord,Death Prophet,Elder Titan,Slardar,Alchemist,Warlock,Dragon Knight,Viper,Centaur Warrunner,False
Winter Wyvern,Timbersaw,Ursa,Weaver,Rubick,Spirit Breaker,Lifestealer,Shadow Fiend,Faceless Void,Kunkka,False
Crystal Maiden,Nyx Assassin,Sven,Invoker,Broodmother,Bloodseeker,Slardar,Skywrath Mage,Juggernaut,Outworld Devourer,True
Clockwerk,Troll Warlord,Shadow Shaman,Mirana,Phantom Assassin,Magnus,Drow Ranger,Wraith King,Lion,Invoker,True
Pudge,Templar Assassin,Venomancer,Omniknight,Terrorblade,Techies,Lycan,Nature's Prophet,Tiny,Visage,True
Lina,Viper,Sniper,Axe,Juggernaut,Shadow Fiend,Troll Warlord,Windranger,Phantom Assassin,Zeus,True
Luna,Warlock,Tiny,Spirit Breaker,Crystal Maiden,Axe,Lion,Shadow Fiend,Witch Doctor,Ogre Magi,True
Clinkz,Windranger,Drow Ranger,Juggernaut,Bounty Hunter,Earthshaker,Brewmaster,Sniper,Wraith King,Phantom Assassin,False
Lich,Spirit Breaker,Zeus,Huskar,Clinkz,Lina,Phoenix,Death Prophet,Morphling,Meepo,True
Wraith King,Pugna,Earthshaker,Bloodseeker,Storm Spirit,Clinkz,Necrophos,Monkey King,Silencer,Meepo,True
Venomancer,Axe,Sniper,Chaos Knight,Gyrocopter,Outworld Devourer,Sand King,Rubick,Clinkz,Faceless Void,True
Warlock,Shadow Shaman,Shadow Demon,Pugna,Visage,Kunkka,Chaos Knight,Magnus,Weaver,Ogre Magi,False
Tiny,Wraith King,Lion,Windranger,Spirit Breaker,Vengeful Spirit,Sven,Lich,Zeus,Bloodseeker,False
Dragon Knight,Terrorblade,Mirana,Lifestealer,Axe,Broodmother,Techies,Legion Commander,Skywrath Mage,Drow Ranger,True
Terrorblade,Omniknight,Shadow Shaman,Riki,Drow Ranger,Invoker,Witch Doctor,Phantom Lancer,Anti-Mage,Mirana,True
Spirit Breaker,Zeus,Bloodseeker,Luna,Vengeful Spirit,Ember Spirit,Invoker,Juggernaut,Bristleback,Oracle,True
Troll Warlord,Templar Assassin,Axe,Clockwerk,Shadow Shaman,Invoker,Rubick,Magnus,Juggernaut,Earthshaker,True
Lifestealer,Juggernaut,Spirit Breaker,Monkey King,Shadow Shaman,Broodmother,Axe,Brewmaster,Bloodseeker,Ogre Magi,False
Sven,Clinkz,Faceless Void,Zeus,Lich,Luna,Bloodseeker,Abaddon,Ogre Magi,Windranger,True
Lifestealer,Phantom Lancer,Wraith King,Storm Spirit,Pugna,Mirana,Slark,Invoker,Earthshaker,Timbersaw,True
Gyrocopter,Anti-Mage,Monkey King,Phantom Lancer,Skywrath Mage,Ember Spirit,Pudge,Doom,Templar Assassin,Centaur Warrunner,True
Necrophos,Pugna,Kunkka,Clockwerk,Sniper,Spirit Breaker,Ancient Apparition,Crystal Maiden,Phantom Assassin,Arc Warden,True
Vengeful Spirit,Pugna,Dark Seer,Phantom Assassin,Ursa,Tusk,Oracle,Faceless Void,Kunkka,Jakiro,False
Troll Warlord,Broodmother,Clinkz,Drow Ranger,Dazzle,Pugna,Ember Spirit,Undying,Tidehunter,Slark,True
Dragon Knight,Io,Pugna,Magnus,Monkey King,Night Stalker,Wraith King,Nyx Assassin,Anti-Mage,Storm Spirit,False
Undying,Earthshaker,Spirit Breaker,Lifestealer,Viper,Pudge,Templar Assassin,Doom,Clinkz,Phantom Lancer,True
Necrophos,Phantom Lancer,Ursa,Templar Assassin,Monkey King,Lina,Tusk,Troll Warlord,Omniknight,Ogre Magi,False
Zeus,Dragon Knight,Viper,Juggernaut,Bristleback,Death Prophet,Invoker,Axe,Wraith King,Riki,True
Clockwerk,Invoker,Shadow Shaman,Earthshaker,Phantom Assassin,Troll Warlord,Bloodseeker,Sniper,Lion,Wraith King,True
Huskar,Slardar,Riki,Anti-Mage,Earthshaker,Meepo,Slark,Pudge,Wraith King,Witch Doctor,True
Dazzle,Crystal Maiden,Enigma,Naga Siren,Shadow Demon,Tidehunter,Timbersaw,Rubick,Legion Commander,Phoenix,True
Windranger,Mirana,Warlock,Drow Ranger,Pugna,Skywrath Mage,Witch Doctor,Necrophos,Techies,Faceless Void,True
Enigma,Luna,Outworld Devourer,Kunkka,Meepo,Queen of Pain,Clinkz,Terrorblade,Lion,Shadow Demon,True
Necrophos,Spirit Breaker,Night Stalker,Anti-Mage,Rubick,Pudge,Phantom Assassin,Jakiro,Nyx Assassin,Invoker,True
Lina,Zeus,Sniper,Legion Commander,Phantom Lancer,Luna,Ursa,Huskar,Sven,Juggernaut,False
Mirana,Enchantress,Centaur Warrunner,Lion,Lich,Dragon Knight,Bloodseeker,Lycan,Clinkz,Omniknight,False
Shadow Fiend,Slardar,Ancient Apparition,Rubick,Sven,Slark,Omniknight,Warlock,Nyx Assassin,Huskar,False
Earthshaker,Drow Ranger,Phantom Assassin,Clinkz,Morphling,Juggernaut,Night Stalker,Lina,Sniper,Ogre Magi,True
Monkey King,Viper,Slardar,Bane,Tusk,Vengeful Spirit,Phantom Assassin,Nature's Prophet,Death Prophet,Tidehunter,True
Anti-Mage,Silencer,Queen of Pain,Legion Commander,Sand King,Ursa,Bloodseeker,Ember Spirit,Bounty Hunter,Luna,False
Naga Siren,Riki,Zeus,Clockwerk,Brewmaster,Slark,Nyx Assassin,Tiny,Chaos Knight,Shadow Shaman,False
Lion,Ogre Magi,Sniper,Bloodseeker,Monkey King,Chaos Knight,Mirana,Jakiro,Phantom Assassin,Witch Doctor,True
Centaur Warrunner,Spirit Breaker,Nature's Prophet,Zeus,Huskar,Anti-Mage,Slark,Necrophos,Lifestealer,Bloodseeker,True
Doom,Legion Commander,Invoker,Monkey King,Riki,Magnus,Viper,Pudge,Rubick,Phantom Assassin,False
Keeper of the Light,Necrophos,Enchantress,Rubick,Leshrac,Undying,Tidehunter,Bristleback,Beastmaster,Medusa,True
Lycan,Sniper,Treant Protector,Dragon Knight,Sven,Nyx Assassin,Abaddon,Bloodseeker,Kunkka,Wraith King,False
Doom,Beastmaster,Lycan,Ursa,Lone Druid,Ogre Magi,Brewmaster,Bristleback,Shadow Fiend,Axe,True
Keeper of the Light,Legion Commander,Axe,Nature's Prophet,Jakiro,Timbersaw,Undying,Nyx Assassin,Winter Wyvern,Techies,True
Kunkka,Underlord,Bane,Huskar,Nature's Prophet,Pudge,Phantom Assassin,Slardar,Drow Ranger,Techies,True
Tidehunter,Phantom Lancer,Phantom Assassin,Bloodseeker,Invoker,Earthshaker,Wraith King,Viper,Magnus,Treant Protector,False
Rubick,Monkey King,Earthshaker,Bristleback,Alchemist,Sand King,Pudge,Tinker,Kunkka,Terrorblade,True
Necrophos,Invoker,Winter Wyvern,Troll Warlord,Vengeful Spirit,Queen of Pain,Chaos Knight,Timbersaw,Nature's Prophet,Anti-Mage,True
Nature's Prophet,Keeper of the Light,Invoker,Enigma,Morphling,Ogre Magi,Ember Spirit,Techies,Lion,Windranger,True
Bounty Hunter,Wraith King,Pugna,Phantom Assassin,Invoker,Monkey King,Huskar,Mirana,Dazzle,Phantom Lancer,False
Pugna,Winter Wyvern,Lifestealer,Axe,Ember Spirit,Weaver,Centaur Warrunner,Sven,Pudge,Morphling,False
Doom,Luna,Venomancer,Monkey King,Earth Spirit,Invoker,Broodmother,Anti-Mage,Spirit Breaker,Necrophos,True
Drow Ranger,Viper,Bounty Hunter,Monkey King,Shadow Fiend,Crystal Maiden,Magnus,Necrophos,Treant Protector,Earthshaker,True
Juggernaut,Bounty Hunter,Viper,Puck,Legion Commander,Mirana,Rubick,Invoker,Necrophos,Skywrath Mage,False
Disruptor,Dragon Knight,Monkey King,Arc Warden,Huskar,Crystal Maiden,Invoker,Night Stalker,Sniper,Sven,True
Dazzle,Bane,Bounty Hunter,Invoker,Beastmaster,Silencer,Queen of Pain,Sven,Magnus,Riki,False
Undying,Phantom Assassin,Elder Titan,Winter Wyvern,Batrider,Lifestealer,Omniknight,Juggernaut,Keeper of the Light,Ember Spirit,True
Luna,Lich,Io,Underlord,Alchemist,Shadow Demon,Warlock,Venomancer,Faceless Void,Templar Assassin,True
Keeper of the Light,Pudge,Sven,Timbersaw,Kunkka,Vengeful Spirit,Skywrath Mage,Phantom Assassin,Ancient Apparition,Slark,False
Clinkz,Monkey King,Templar Assassin,Windranger,Lich,Io,Silencer,Huskar,Venomancer,Slark,True
Lifestealer,Puck,Sniper,Bounty Hunter,Timbersaw,Anti-Mage,Tidehunter,Ancient Apparition,Pudge,Pugna,True
Drow Ranger,Templar Assassin,Luna,Nature's Prophet,Lycan,Tidehunter,Chen,Lich,Crystal Maiden,Io,True
Witch Doctor,Dark Seer,Faceless Void,Zeus,Sniper,Ursa,Clinkz,Phoenix,Slardar,Windranger,False
Dragon Knight,Sven,Elder Titan,Ancient Apparition,Spirit Breaker,Riki,Monkey King,Windranger,Bane,Death Prophet,False
Dragon Knight,Necrophos,Bounty Hunter,Pudge,Pugna,Shadow Fiend,Legion Commander,Bristleback,Rubick,Clinkz,True
Wraith King,Sven,Lina,Clinkz,Troll Warlord,Chaos Knight,Phantom Assassin,Huskar,Drow Ranger,Faceless Void,True
Windranger,Sniper,Sand King,Abaddon,Dazzle,Necrophos,Troll Warlord,Shadow Shaman,Spirit Breaker,Slark,False
Phantom Assassin,Storm Spirit,Lion,Windranger,Chaos Knight,Queen of Pain,Tidehunter,Gyrocopter,Earthshaker,Clockwerk,True
Lich,Venomancer,Ursa,Huskar,Treant Protector,Timbersaw,Chaos Knight,Riki,Viper,Lion,True
Troll Warlord,Pudge,Sniper,Night Stalker,Omniknight,Slardar,Naga Siren,Abaddon,Bane,Clockwerk,True
Earthshaker,Lina,Sand King,Troll Warlord,Terrorblade,Templar Assassin,Vengeful Spirit,Bristleback,Elder Titan,Meepo,True
Timbersaw,Outworld Devourer,Keeper of the Light,Spirit Breaker,Storm Spirit,Slark,Clockwerk,Earth Spirit,Windranger,Venomancer,True
Shadow Fiend,Windranger,Kunkka,Lycan,Enchantress,Pudge,Invoker,Lich,Magnus,Terrorblade,True
Necrophos,Lina,Chaos Knight,Riki,Invoker,Vengeful Spirit,Ursa,Lone Druid,Silencer,Legion Commander,True
Phantom Lancer,Anti-Mage,Witch Doctor,Lycan,Centaur Warrunner,Arc Warden,Clinkz,Bounty Hunter,Pudge,Lifestealer,True
Lycan,Meepo,Visage,Lina,Alchemist,Clockwerk,Doom,Sven,Omniknight,Dragon Knight,False
Winter Wyvern,Necrophos,Puck,Warlock,Venomancer,Storm Spirit,Sven,Shadow Shaman,Undying,Axe,True
Invoker,Sven,Earthshaker,Ancient Apparition,Magnus,Jakiro,Timbersaw,Faceless Void,Silencer,Necrophos,False
Timbersaw,Pudge,Anti-Mage,Bounty Hunter,Gyrocopter,Night Stalker,Ursa,Crystal Maiden,Bloodseeker,Treant Protector,False
Sniper,Night Stalker,Chaos Knight,Lina,Riki,Shadow Fiend,Viper,Storm Spirit,Windranger,Elder Titan,True
Magnus,Pudge,Bloodseeker,Invoker,Huskar,Death Prophet,Drow Ranger,Phantom Assassin,Sniper,Clinkz,False
Arc Warden,Gyrocopter,Earthshaker,Underlord,Magnus,Medusa,Tusk,Lycan,Anti-Mage,Lifestealer,False
Invoker,Drow Ranger,Viper,Elder Titan,Phantom Assassin,Warlock,Broodmother,Enchantress,Morphling,Sven,True
Underlord,Monkey King,Sand King,Troll Warlord,Tusk,Anti-Mage,Spirit Breaker,Centaur Warrunner,Shadow Fiend,Nature's Prophet,False
Bloodseeker,Necrophos,Earthshaker,Luna,Riki,Legion Commander,Huskar,Sven,Alchemist,Puck,True
Ursa,Legion Commander,Invoker,Templar Assassin,Nature's Prophet,Dark Seer,Shadow Shaman,Slark,Pudge,Slardar,False
Bloodseeker,Necrophos,Sniper,Monkey King,Naga Siren,Queen of Pain,Bounty Hunter,Dark Seer,Silencer,Tiny,False
Ember Spirit,Omniknight,Enigma,Ursa,Night Stalker,Medusa,Doom,Keeper of the Light,Lone Druid,Drow Ranger,True
Phantom Assassin,Crystal Maiden,Invoker,Undying,Lifestealer,Jakiro,Venomancer,Sniper,Spirit Breaker,Omniknight,False
Legion Commander,Drow Ranger,Bristleback,Ogre Magi,Puck,Windranger,Morphling,Skywrath Mage,Dazzle,Axe,False
Morphling,Bounty Hunter,Monkey King,Witch Doctor,Juggernaut,Venomancer,Viper,Ursa,Sven,Riki,False
Troll Warlord,Venomancer,Spirit Breaker,Legion Commander,Arc Warden,Invoker,Treant Protector,Riki,Wraith King,Winter Wyvern,False
Drow Ranger,Mirana,Underlord,Skywrath Mage,Puck,Storm Spirit,Witch Doctor,Zeus,Bloodseeker,Ember Spirit,True
Nature's Prophet,Enigma,Kunkka,Sven,Drow Ranger,Visage,Shadow Shaman,Warlock,Pugna,Shadow Demon,True
Lich,Faceless Void,Storm Spirit,Broodmother,Spectre,Chaos Knight,Sniper,Slardar,Enigma,Invoker,False
Venomancer,Tidehunter,Phoenix,Medusa,Spirit Breaker,Lifestealer,Dragon Knight,Spectre,Razor,Mirana,True
Crystal Maiden,Shadow Fiend,Ember Spirit,Anti-Mage,Viper,Witch Doctor,Windranger,Legion Commander,Clinkz,Tinker,False
Shadow Shaman,Bloodseeker,Razor,Centaur Warrunner,Zeus,Skywrath Mage,Sniper,Luna,Dazzle,Axe,False
Techies,Disruptor,Tidehunter,Puck,Warlock,Clinkz,Nature's Prophet,Terrorblade,Rubick,Visage,False
Nyx Assassin,Troll Warlord,Jakiro,Omniknight,Lina,Axe,Necrophos,Wraith King,Invoker,Pudge,False
Tiny,Broodmother,Shadow Fiend,Nature's Prophet,Batrider,Venomancer,Lone Druid,Necrophos,Underlord,Monkey King,True
Silencer,Wraith King,Disruptor,Necrophos,Viper,Legion Commander,Juggernaut,Lina,Bounty Hunter,Pudge,True
Phantom Lancer,Pudge,Lifestealer,Kunkka,Rubick,Storm Spirit,Juggernaut,Necrophos,Phantom Assassin,Naga Siren,False
Kunkka,Phantom Assassin,Disruptor,Bloodseeker,Monkey King,Ursa,Vengeful Spirit,Invoker,Crystal Maiden,Wraith King,True
Lycan,Ember Spirit,Luna,Necrophos,Mirana,Clinkz,Huskar,Keeper of the Light,Faceless Void,Jakiro,False
Mirana,Abaddon,Jakiro,Shadow Shaman,Spirit Breaker,Wraith King,Anti-Mage,Ember Spirit,Kunkka,Zeus,True
Slark,Elder Titan,Ursa,Kunkka,Pudge,Alchemist,Weaver,Queen of Pain,Storm Spirit,Crystal Maiden,True
Undying,Wraith King,Windranger,Tinker,Night Stalker,Underlord,Luna,Ogre Magi,Alchemist,Pudge,True
Tinker,Earth Spirit,Lina,Abaddon,Terrorblade,Legion Commander,Riki,Chaos Knight,Sniper,Bloodseeker,True
Invoker,Witch Doctor,Dark Seer,Slark,Lifestealer,Sniper,Lich,Phantom Assassin,Bloodseeker,Juggernaut,False
Kunkka,Silencer,Rubick,Crystal Maiden,Death Prophet,Queen of Pain,Warlock,Pugna,Oracle,Visage,True
Troll Warlord,Sniper,Venomancer,Puck,Disruptor,Ogre Magi,Zeus,Invoker,Pudge,Phantom Assassin,False
Sven,Sand King,Sniper,Lion,Ursa,Legion Commander,Viper,Earthshaker,Meepo,Brewmaster,True
Templar Assassin,Kunkka,Jakiro,Techies,Luna,Weaver,Drow Ranger,Mirana,Shadow Fiend,Pudge,False
Lone Druid,Disruptor,Queen of Pain,Shadow Fiend,Visage,Tidehunter,Clockwerk,Centaur Warrunner,Omniknight,Earth Spirit,True
Invoker,Dragon Knight,Sniper,Drow Ranger,Juggernaut,Riki,Phantom Assassin,Pudge,Nature's Prophet,Jakiro,False
Legion Commander,Earth Spirit,Lina,Windranger,Jakiro,Monkey King,Clinkz,Luna,Drow Ranger,Silencer,False
Silencer,Pugna,Spirit Breaker,Monkey King,Lycan,Sven,Bane,Night Stalker,Necrophos,Magnus,True
Elder Titan,Treant Protector,Io,Sven,Drow Ranger,Legion Commander,Doom,Clinkz,Timbersaw,Wraith King,False
Shadow Fiend,Viper,Pudge,Huskar,Rubick,Bloodseeker,Sven,Spirit Breaker,Earthshaker,Tinker,False
Magnus,Slark,Invoker,Axe,Legion Commander,Lifestealer,Tiny,Lone Druid,Alchemist,Bloodseeker,False
Weaver,Outworld Devourer,Mirana,Windranger,Earthshaker,Necrophos,Enchantress,Legion Commander,Lina,Anti-Mage,False
Shadow Shaman,Axe,Weaver,Phantom Assassin,Slark,Leshrac,Outworld Devourer,Death Prophet,Huskar,Necrophos,True
Sniper,Chen,Troll Warlord,Luna,Pudge,Medusa,Ember Spirit,Silencer,Morphling,Crystal Maiden,False
Terrorblade,Sniper,Undying,Pugna,Enigma,Centaur Warrunner,Lone Druid,Rubick,Razor,Bane,True
Axe,Weaver,Huskar,Shadow Demon,Visage,Ursa,Lich,Enigma,Leshrac,Ancient Apparition,True
Windranger,Visage,Juggernaut,Phoenix,Phantom Assassin,Ember Spirit,Sniper,Invoker,Crystal Maiden,Lina,True
Venomancer,Morphling,Bristleback,Kunkka,Anti-Mage,Chaos Knight,Queen of Pain,Pudge,Viper,Juggernaut,False
Monkey King,Axe,Nature's Prophet,Troll Warlord,Kunkka,Invoker,Outworld Devourer,Beastmaster,Luna,Mirana,True
Faceless Void,Razor,Slark,Pudge,Huskar,Witch Doctor,Axe,Bane,Phantom Assassin,Meepo,False
Legion Commander,Dark Seer,Kunkka,Shadow Fiend,Weaver,Shadow Shaman,Bounty Hunter,Sven,Viper,Phoenix,False
Legion Commander,Templar Assassin,Weaver,Jakiro,Night Stalker,Silencer,Drow Ranger,Wraith King,Clinkz,Invoker,True
Beastmaster,Juggernaut,Lina,Witch Doctor,Sand King,Pugna,Leshrac,Warlock,Zeus,Venomancer,False
Spirit Breaker,Arc Warden,Slark,Tiny,Phantom Assassin,Clinkz,Venomancer,Monkey King,Doom,Elder Titan,True
Naga Siren,Death Prophet,Tiny,Underlord,Brewmaster,Tinker,Arc Warden,Tidehunter,Juggernaut,Clockwerk,True
Troll Warlord,Tidehunter,Outworld Devourer,Kunkka,Spirit Breaker,Necrophos,Legion Commander,Sniper,Juggernaut,Pudge,True
Chaos Knight,Razor,Lich,Shadow Shaman,Juggernaut,Disruptor,Ursa,Lycan,Luna,Undying,True
Shadow Fiend,Enigma,Tidehunter,Spirit Breaker,Earthshaker,Anti-Mage,Rubick,Silencer,Legion Commander,Luna,False
Gyrocopter,Ancient Apparition,Arc Warden,Winter Wyvern,Earthshaker,Anti-Mage,Juggernaut,Venomancer,Clockwerk,Kunkka,True
Razor,Sand King,Alchemist,Terrorblade,Mirana,Batrider,Windranger,Techies,Medusa,Oracle,True
Ogre Magi,Razor,Queen of Pain,Riki,Death Prophet,Phantom Lancer,Outworld Devourer,Sniper,Beastmaster,Broodmother,True
Venomancer,Ancient Apparition,Bristleback,Ember Spirit,Anti-Mage,Legion Commander,Invoker,Kunkka,Pudge,Sniper,True
Phantom Assassin,Faceless Void,Lich,Bloodseeker,Abaddon,Legion Commander,Bounty Hunter,Omniknight,Chaos Knight,Clinkz,False
Brewmaster,Ursa,Treant Protector,Nyx Assassin,Phantom Assassin,Spectre,Lich,Tidehunter,Spirit Breaker,Arc Warden,False
Broodmother,Invoker,Weaver,Crystal Maiden,Disruptor,Arc Warden,Techies,Shadow Fiend,Oracle,Gyrocopter,True
Spirit Breaker,Silencer,Legion Commander,Bloodseeker,Alchemist,Outworld Devourer,Gyrocopter,Monkey King,Shadow Shaman,Pugna,True
Batrider,Sniper,Underlord,Tusk,Luna,Invoker,Zeus,Vengeful Spirit,Wraith King,Sand King,True
Keeper of the Light,Phantom Assassin,Enigma,Medusa,Pudge,Mirana,Necrophos,Axe,Shadow Fiend,Troll Warlord,True
Spectre,Invoker,Warlock,Puck,Weaver,Juggernaut,Meepo,Venomancer,Silencer,Ogre Magi,True
Morphling,Sven,Magnus,Zeus,Io,Slark,Silencer,Legion Commander,Sniper,Ancient Apparition,False
Anti-Mage,Lion,Arc Warden,Troll Warlord,Silencer,Earthshaker,Monkey King,Pudge,Bloodseeker,Enigma,False
Axe,Sniper,Wraith King,Mirana,Necrophos,Bristleback,Death Prophet,Viper,Invoker,Phantom Assassin,True
Lina,Bounty Hunter,Broodmother,Phantom Lancer,Earthshaker,Weaver,Pudge,Ursa,Timbersaw,Necrophos,True
Monkey King,Vengeful Spirit,Tidehunter,Riki,Axe,Nyx Assassin,Wraith King,Spirit Breaker,Earthshaker,Dragon Knight,False
Doom,Rubick,Sniper,Juggernaut,Lina,Spectre,Jakiro,Tinker,Techies,Bristleback,True
Crystal Maiden,Clinkz,Naga Siren,Zeus,Drow Ranger,Luna,Outworld Devourer,Morphling,Spectre,Ancient Apparition,False
Underlord,Skywrath Mage,Vengeful Spirit,Lycan,Troll Warlord,Nature's Prophet,Anti-Mage,Zeus,Io,Sand King,True
