player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,rad_win
Enchantress,Jakiro,Juggernaut,Zeus,Bounty Hunter,Ursa,Sven,Terrorblade,Venomancer,Templar Assassin,True
Anti-Mage,Clinkz,Zeus,Lich,Viper,Phoenix,Shadow Fiend,Invoker,Luna,Sniper,True
Bounty Hunter,Death Prophet,Alchemist,Ogre Magi,Drow Ranger,Earthshaker,Underlord,Clockwerk,Skywrath Mage,Warlock,True
Nyx Assassin,Anti-Mage,Beastmaster,Weaver,Kunkka,Earthshaker,Pudge,Disruptor,Lifestealer,Tiny,True
Io,Ancient Apparition,Invoker,Tidehunter,Pudge,Bloodseeker,Kunkka,Winter Wyvern,Phantom Lancer,Luna,False
Dragon Knight,Slark,Phantom Assassin,Phoenix,Shadow Demon,Nyx Assassin,Venomancer,Pudge,Phantom Lancer,Skywrath Mage,False
Morphling,Outworld Devourer,Queen of Pain,Enchantress,Mirana,Axe,Io,Windranger,Necrophos,Juggernaut,True
Shadow Fiend,Visage,Tidehunter,Sven,Necrophos,Phantom Assassin,Pugna,Terrorblade,Monkey King,Ogre Magi,False
Sven,Dragon Knight,Sniper,Troll Warlord,Bristleback,Viper,Zeus,Phantom Assassin,Luna,Juggernaut,False
Nature's Prophet,Phantom Lancer,Viper,Outworld Devourer,Winter Wyvern,Windranger,Sven,Night Stalker,Treant Protector,Abaddon,True
Huskar,Bane,Wraith King,Gyrocopter,Riki,Sven,Ursa,Shadow Shaman,Spirit Breaker,Viper,False
Bloodseeker,Broodmother,Outworld Devourer,Omniknight,Phantom Assassin,Ember Spirit,Monkey King,Slark,Phoenix,Ogre Magi,False
Terrorblade,Huskar,Drow Ranger,Faceless Void,Troll Warlord,Brewmaster,Clockwerk,Chaos Knight,Spirit Breaker,Undying,True
Death Prophet,Pudge,Gyrocopter,Troll Warlord,Alchemist,Tidehunter,Tiny,Abaddon,Magnus,Timbersaw,True
Sniper,Bristleback,Legion Commander,Slark,Ember Spirit,Pudge,Axe,Necrophos,Tidehunter,Anti-Mage,False
Huskar,Wraith King,Windranger,Lifestealer,Bounty Hunter,Weaver,Sven,Jakiro,Broodmother,Viper,False
Leshrac,Abaddon,Omniknight,Sniper,Clinkz,Nature's Prophet,Dragon Knight,Necrophos,Tinker,Viper,False
Morphling,Slark,Ogre Magi,Bristleback,Keeper of the Light,Puck,Anti-Mage,Phantom Lancer,Visage,Bloodseeker,False
Nature's Prophet,Sand King,Legion Commander,Visage,Keeper of the Light,Kunkka,Storm Spirit,Bane,Bloodseeker,Doom,False
Pudge,Morphling,Earthshaker,Alchemist,Batrider,Legion Commander,Bloodseeker,Viper,Lich,Rubick,False
Enigma,Leshrac,Sand King,Legion Commander,Templar Assassin,Oracle,Sven,Crystal Maiden,Phoenix,Tiny,True
Lycan,Sand King,Huskar,Riki,Luna,Lion,Drow Ranger,Windranger,Terrorblade,Vengeful Spirit,True
Undying,Legion Commander,Phantom Lancer,Lycan,Shadow Demon,Templar Assassin,Juggernaut,Storm Spirit,Tusk,Night Stalker,False
Bloodseeker,Monkey King,Earthshaker,Broodmother,Nyx Assassin,Juggernaut,Lich,Invoker,Riki,Vengeful Spirit,True
Nature's Prophet,Arc Warden,Legion Commander,Venomancer,Spectre,Viper,Techies,Tidehunter,Keeper of the Light,Ancient Apparition,True
Earthshaker,Gyrocopter,Undying,Shadow Demon,Viper,Necrophos,Monkey King,Faceless Void,Doom,Night Stalker,True
Keeper of the Light,Vengeful Spirit,Clinkz,Nature's Prophet,Drow Ranger,Disruptor,Bristleback,Witch Doctor,Templar Assassin,Io,True
Alchemist,Io,Morphling,Shadow Shaman,Lycan,Jakiro,Lone Druid,Centaur Warrunner,Techies,Ancient Apparition,True
Outworld Devourer,Underlord,Abaddon,Batrider,Vengeful Spirit,Shadow Shaman,Sand King,Chaos Knight,Sniper,Clockwerk,False
Clockwerk,Nature's Prophet,Elder Titan,Treant Protector,Kunkka,Morphling,Witch Doctor,Crystal Maiden,Keeper of the Light,Skywrath Mage,True
Morphling,Legion Commander,Ancient Apparition,Luna,Visage,Huskar,Silencer,Vengeful Spirit,Nature's Prophet,Leshrac,False
Silencer,Broodmother,Tusk,Venomancer,Weaver,Windranger,Drow Ranger,Winter Wyvern,Necrophos,Lich,False
Axe,Underlord,Invoker,Lycan,Drow Ranger,Phantom Assassin,Keeper of the Light,Shadow Demon,Timbersaw,Bane,True
Dazzle,Huskar,Timbersaw,Venomancer,Phantom Assassin,Magnus,Nyx Assassin,Axe,Mirana,Alchemist,True
Sniper,Huskar,Tinker,Chen,Lycan,Lifestealer,Slardar,Disruptor,Clinkz,Slark,True
Alchemist,Sniper,Juggernaut,Medusa,Clockwerk,Bounty Hunter,Invoker,Legion Commander,Wraith King,Enchantress,False
Venomancer,Earthshaker,Enchantress,Mirana,Monkey King,Kunkka,Pudge,Beastmaster,Anti-Mage,Queen of Pain,True
Tidehunter,Tinker,Venomancer,Witch Doctor,Timbersaw,Outworld Devourer,Lina,Queen of Pain,Mirana,Bristleback,True
Ancient Apparition,Io,Skywrath Mage,Lina,Wraith King,Monkey King,Windranger,Bristleback,Lion,Huskar,False
Winter Wyvern,Silencer,Storm Spirit,Windranger,Tinker,Kunkka,Ogre Magi,Slark,Nature's Prophet,Wraith King,False
Lich,Mirana,Tiny,Huskar,Terrorblade,Kunkka,Lycan,Invoker,Shadow Shaman,Venomancer,True
Necrophos,Slark,Winter Wyvern,Chaos Knight,Lina,Alchemist,Weaver,Ursa,Brewmaster,Puck,True
Chaos Knight,Kunkka,Invoker,Juggernaut,Shadow Shaman,Lone Druid,Crystal Maiden,Queen of Pain,Monkey King,Dazzle,True
Tusk,Meepo,Slark,Luna,Shadow Fiend,Viper,Sniper,Gyrocopter,Spirit Breaker,Broodmother,True
Sniper,Invoker,Spirit Breaker,Kunkka,Phoenix,Arc Warden,Silencer,Bloodseeker,Visage,Mirana,False
Medusa,Spirit Breaker,Ursa,Pudge,Zeus,Underlord,Razor,Ancient Apparition,Nature's Prophet,Rubick,False
Terrorblade,Nature's Prophet,Axe,Drow Ranger,Ember Spirit,Magnus,Witch Doctor,Meepo,Lifestealer,Sniper,True
Phantom Assassin,Skywrath Mage,Windranger,Luna,Anti-Mage,Death Prophet,Kunkka,Earthshaker,Clinkz,Sniper,True
Terrorblade,Queen of Pain,Sniper,Batrider,Slark,Sven,Faceless Void,Riki,Axe,Enigma,True
Venomancer,Abaddon,Pugna,Zeus,Riki,Nyx Assassin,Outworld Devourer,Viper,Necrophos,Ursa,True
Troll Warlord,Slark,Sven,Shadow Shaman,Magnus,Dazzle,Spirit Breaker,Luna,Phantom Assassin,Sniper,False
Alchemist,Mirana,Witch Doctor,Gyrocopter,Sniper,Monkey King,Bounty Hunter,Razor,Lone Druid,Tiny,True
Jakiro,Sniper,Morphling,Venomancer,Sand King,Sven,Phantom Assassin,Earthshaker,Drow Ranger,Dazzle,True
Io,Naga Siren,Arc Warden,Bristleback,Tidehunter,Terrorblade,Venomancer,Lone Druid,Techies,Wraith King,False
Storm Spirit,Venomancer,Anti-Mage,Meepo,Tidehunter,Enigma,Slardar,Warlock,Nature's Prophet,Lifestealer,False
Juggernaut,Underlord,Naga Siren,Huskar,Chaos Knight,Elder Titan,Ancient Apparition,Oracle,Venomancer,Tinker,True
Chaos Knight,Windranger,Tusk,Gyrocopter,Bounty Hunter,Silencer,Abaddon,Troll Warlord,Medusa,Centaur Warrunner,True
Oracle,Juggernaut,Legion Commander,Timbersaw,Troll Warlord,Luna,Witch Doctor,Phantom Assassin,Sniper,Tinker,False
Doom,Venomancer,Outworld Devourer,Enchantress,Sven,Nyx Assassin,Lich,Treant Protector,Puck,Timbersaw,True
Tiny,Kunkka,Winter Wyvern,Broodmother,Drow Ranger,Skywrath Mage,Warlock,Silencer,Visage,Shadow Demon,True
Enchantress,Clinkz,Venomancer,Drow Ranger,Monkey King,Witch Doctor,Dazzle,Io,Keeper of the Light,Riki,True
Batrider,Tinker,Phantom Assassin,Troll Warlord,Lich,Juggernaut,Spirit Breaker,Lifestealer,Tidehunter,Lycan,True
Weaver,Luna,Lion,Spirit Breaker,Medusa,Drow Ranger,Elder Titan,Spectre,Huskar,Venomancer,True
Phantom Assassin,Tinker,Necrophos,Windranger,Sand King,Rubick,Faceless Void,Magnus,Disruptor,Huskar,False
Night Stalker,Weaver,Slark,Terrorblade,Viper,Nature's Prophet,Luna,Bristleback,Shadow Fiend,Ember Spirit,True
Venomancer,Clinkz,Troll Warlord,Luna,Juggernaut,Viper,Lifestealer,Tusk,Timbersaw,Sven,True
Broodmother,Nature's Prophet,Pugna,Huskar,Sniper,Shadow Demon,Warlock,Puck,Shadow Shaman,Visage,True
Templar Assassin,Zeus,Ogre Magi,Anti-Mage,Faceless Void,Rubick,Earthshaker,Magnus,Legion Commander,Queen of Pain,False
Viper,Ember Spirit,Slardar,Enigma,Meepo,Sven,Legion Commander,Venomancer,Ogre Magi,Razor,False
Sven,Troll Warlord,Undying,Weaver,Omniknight,Dragon Knight,Lone Druid,Clinkz,Rubick,Monkey King,True
Bloodseeker,Clockwerk,Ursa,Winter Wyvern,Undying,Lifestealer,Clinkz,Pudge,Kunkka,Spectre,True
Lina,Monkey King,Earthshaker,Faceless Void,Necrophos,Lifestealer,Clinkz,Night Stalker,Windranger,Treant Protector,True
Nature's Prophet,Windranger,Terrorblade,Lone Druid,Keeper of the Light,Chen,Dragon Knight,Oracle,Pugna,Bristleback,True
Viper,Silencer,Morphling,Queen of Pain,Earth Spirit,Lich,Sniper,Clockwerk,Magnus,Phantom Assassin,True
Pudge,Slark,Necrophos,Juggernaut,Undying,Morphling,Riki,Bristleback,Bounty Hunter,Clockwerk,True
Spirit Breaker,Enchantress,Elder Titan,Lifestealer,Bristleback,Visage,Bloodseeker,Keeper of the Light,Techies,Silencer,False
Slardar,Pudge,Techies,Bloodseeker,Wraith King,Faceless Void,Juggernaut,Axe,Necrophos,Invoker,True
Magnus,Lone Druid,Leshrac,Broodmother,Razor,Enigma,Keeper of the Light,Lina,Venomancer,Anti-Mage,True
Oracle,Tinker,Shadow Demon,Storm Spirit,Pugna,Morphling,Elder Titan,Warlock,Skywrath Mage,Outworld Devourer,False
Pudge,Zeus,Enigma,Dragon Knight,Necrophos,Viper,Undying,Tidehunter,Troll Warlord,Anti-Mage,False
Sand King,Witch Doctor,Shadow Fiend,Phantom Lancer,Keeper of the Light,Ember Spirit,Razor,Earthshaker,Chaos Knight,Windranger,True
Leshrac,Lycan,Pugna,Nature's Prophet,Dark Seer,Anti-Mage,Lion,Timbersaw,Skywrath Mage,Tidehunter,True
Bloodseeker,Ember Spirit,Drow Ranger,Vengeful Spirit,Phantom Assassin,Silencer,Sniper,Clinkz,Lich,Earthshaker,True
Shadow Fiend,Chaos Knight,Drow Ranger,Treant Protector,Venomancer,Meepo,Slark,Silencer,Riki,Viper,False
Zeus,Tinker,Venomancer,Leshrac,Brewmaster,Disruptor,Dazzle,Warlock,Sniper,Troll Warlord,True
Dazzle,Dark Seer,Winter Wyvern,Storm Spirit,Phantom Lancer,Clockwerk,Nature's Prophet,Tidehunter,Weaver,Timbersaw,True
Ursa,Kunkka,Clinkz,Nyx Assassin,Chaos Knight,Juggernaut,Techies,Lycan,Shadow Fiend,Troll Warlord,True
Dragon Knight,Pudge,Techies,Dark Seer,Medusa,Legion Commander,Warlock,Lifestealer,Leshrac,Omniknight,False
Kunkka,Dazzle,Pugna,Legion Commander,Lina,Brewmaster,Timbersaw,Oracle,Lion,Winter Wyvern,True
Silencer,Monkey King,Invoker,Underlord,Axe,Broodmother,Mirana,Gyrocopter,Queen of Pain,Juggernaut,False
Weaver,Zeus,Invoker,Sven,Necrophos,Drow Ranger,Viper,Sniper,Monkey King,Troll Warlord,True
Winter Wyvern,Bane,Tiny,Faceless Void,Bristleback,Bounty Hunter,Viper,Shadow Shaman,Shadow Fiend,Pugna,True
Axe,Medusa,Lone Druid,Storm Spirit,Batrider,Queen of Pain,Huskar,Dazzle,Lycan,Ursa,False
Lifestealer,Dazzle,Terrorblade,Storm Spirit,Necrophos,Ogre Magi,Wraith King,Queen of Pain,Leshrac,Windranger,False
Winter Wyvern,Doom,Tiny,Clockwerk,Broodmother,Lina,Shadow Shaman,Weaver,Abaddon,Ursa,True
Night Stalker,Enchantress,Chaos Knight,Naga Siren,Sniper,Earthshaker,Dragon Knight,Ursa,Venomancer,Invoker,True
Huskar,Undying,Doom,Clinkz,Jakiro,Faceless Void,Brewmaster,Enchantress,Elder Titan,Juggernaut,True
Luna,Enigma,Slardar,Vengeful Spirit,Bane,Ancient Apparition,Sven,Spirit Breaker,Visage,Oracle,True
Bloodseeker,Lich,Kunkka,Outworld Devourer,Invoker,Skywrath Mage,Treant Protector,Mirana,Shadow Shaman,Slark,False
Bloodseeker,Chaos Knight,Lich,Shadow Fiend,Vengeful Spirit,Slark,Omniknight,Lina,Venomancer,Undying,False
Earthshaker,Omniknight,Crystal Maiden,Weaver,Lina,Phantom Lancer,Spirit Breaker,Viper,Doom,Earth Spirit,True
Invoker,Huskar,Lina,Riki,Templar Assassin,Anti-Mage,Weaver,Sniper,Pudge,Enchantress,True
Spirit Breaker,Juggernaut,Pudge,Riki,Shadow Fiend,Batrider,Sniper,Arc Warden,Mirana,Venomancer,False
Oracle,Kunkka,Terrorblade,Spectre,Dragon Knight,Tidehunter,Storm Spirit,Silencer,Necrophos,Zeus,True
Magnus,Beastmaster,Wraith King,Sniper,Keeper of the Light,Doom,Jakiro,Leshrac,Dark Seer,Brewmaster,True
Night Stalker,Beastmaster,Phoenix,Ancient Apparition,Morphling,Io,Crystal Maiden,Doom,Troll Warlord,Underlord,False
Troll Warlord,Io,Riki,Shadow Fiend,Monkey King,Necrophos,Earthshaker,Phantom Assassin,Templar Assassin,Pudge,False
Night Stalker,Sand King,Slark,Weaver,Troll Warlord,Sven,Axe,Phantom Assassin,Venomancer,Dragon Knight,False
Riki,Phoenix,Invoker,Naga Siren,Vengeful Spirit,Meepo,Tidehunter,Keeper of the Light,Broodmother,Underlord,True
Undying,Sven,Magnus,Medusa,Shadow Fiend,Tinker,Elder Titan,Nature's Prophet,Arc Warden,Death Prophet,False
Warlock,Centaur Warrunner,Dark Seer,Invoker,Slark,Kunkka,Techies,Lion,Ursa,Shadow Fiend,False
Juggernaut,Lifestealer,Leshrac,Medusa,Templar Assassin,Chaos Knight,Bloodseeker,Treant Protector,Lina,Legion Commander,False
Shadow Demon,Razor,Bloodseeker,Batrider,Keeper of the Light,Winter Wyvern,Phantom Lancer,Warlock,Doom,Clinkz,True
Broodmother,Axe,Slark,Drow Ranger,Vengeful Spirit,Huskar,Arc Warden,Undying,Slardar,Phoenix,True
Night Stalker,Pudge,Anti-Mage,Phantom Lancer,Sven,Zeus,Meepo,Phantom Assassin,Dazzle,Ursa,False
Venomancer,Troll Warlord,Sven,Meepo,Earthshaker,Lifestealer,Necrophos,Bristleback,Bloodseeker,Morphling,True
Tusk,Bane,Drow Ranger,Disruptor,Tiny,Clockwerk,Spirit Breaker,Centaur Warrunner,Morphling,Sniper,False
Leshrac,Oracle,Bloodseeker,Drow Ranger,Death Prophet,Lion,Tinker,Silencer,Batrider,Broodmother,True
Earthshaker,Medusa,Storm Spirit,Luna,Shadow Fiend,Bristleback,Magnus,Silencer,Clockwerk,Weaver,False
Lion,Centaur Warrunner,Shadow Demon,Omniknight,Bane,Rubick,Puck,Venomancer,Bounty Hunter,Io,True
Lycan,Lina,Vengeful Spirit,Juggernaut,Lone Druid,Leshrac,Outworld Devourer,Dark Seer,Windranger,Timbersaw,True
Nature's Prophet,Earthshaker,Bristleback,Invoker,Juggernaut,Viper,Phantom Lancer,Phoenix,Slark,Legion Commander,False
Wraith King,Lion,Sniper,Abaddon,Death Prophet,Shadow Fiend,Timbersaw,Phantom Assassin,Morphling,Riki,False
Axe,Visage,Terrorblade,Batrider,Slardar,Venomancer,Bristleback,Disruptor,Pugna,Mirana,False
Doom,Tiny,Kunkka,Morphling,Timbersaw,Brewmaster,Venomancer,Sven,Pugna,Warlock,True
Keeper of the Light,Weaver,Lycan,Ember Spirit,Death Prophet,Dragon Knight,Invoker,Pudge,Zeus,Jakiro,True
Troll Warlord,Axe,Bristleback,Necrophos,Invoker,Phantom Lancer,Nyx Assassin,Pudge,Ember Spirit,Bloodseeker,True
Phantom Assassin,Bounty Hunter,Spirit Breaker,Nyx Assassin,Doom,Ember Spirit,Legion Commander,Pudge,Sniper,Underlord,False
Invoker,Ursa,Enigma,Shadow Shaman,Wraith King,Viper,Lion,Leshrac,Visage,Ogre Magi,True
Nature's Prophet,Lifestealer,Jakiro,Wraith King,Invoker,Sand King,Omniknight,Beastmaster,Medusa,Rubick,True
Crystal Maiden,Lifestealer,Puck,Slark,Alchemist,Pugna,Wraith King,Undying,Luna,Treant Protector,True
Lion,Pugna,Faceless Void,Invoker,Templar Assassin,Sniper,Beastmaster,Phantom Assassin,Visage,Necrophos,False
Kunkka,Nature's Prophet,Abaddon,Phantom Assassin,Winter Wyvern,Meepo,Dragon Knight,Faceless Void,Io,Earth Spirit,True
Bristleback,Necrophos,Bloodseeker,Treant Protector,Shadow Fiend,Undying,Phantom Assassin,Outworld Devourer,Spirit Breaker,Tiny,True
Invoker,Sven,Tinker,Io,Wraith King,Magnus,Naga Siren,Undying,Vengeful Spirit,Templar Assassin,True
Venomancer,Nature's Prophet,Phantom Assassin,Terrorblade,Broodmother,Oracle,Visage,Meepo,Bane,Chen,True
Nature's Prophet,Chen,Techies,Keeper of the Light,Vengeful Spirit,Shadow Shaman,Huskar,Queen of Pain,Winter Wyvern,Brewmaster,False
Spirit Breaker,Shadow Fiend,Sand King,Monkey King,Venomancer,Troll Warlord,Necrophos,Dark Seer,Pugna,Slardar,True
Bloodseeker,Riki,Rubick,Nature's Prophet,Visage,Faceless Void,Bristleback,Bounty Hunter,Alchemist,Drow Ranger,True
Phoenix,Dragon Knight,Warlock,Vengeful Spirit,Venomancer,Ursa,Meepo,Sand King,Pugna,Doom,True
Clockwerk,Juggernaut,Bane,Naga Siren,Lina,Kunkka,Zeus,Tinker,Vengeful Spirit,Templar Assassin,False
Venomancer,Leshrac,Luna,Broodmother,Ogre Magi,Winter Wyvern,Elder Titan,Timbersaw,Pudge,Templar Assassin,True
Naga Siren,Leshrac,Shadow Shaman,Storm Spirit,Rubick,Mirana,Doom,Vengeful Spirit,Enchantress,Tusk,False
Anti-Mage,Pudge,Tinker,Faceless Void,Treant Protector,Lina,Windranger,Sniper,Slardar,Invoker,True
Necrophos,Outworld Devourer,Venomancer,Anti-Mage,Ursa,Shadow Shaman,Pudge,Phantom Lancer,Bloodseeker,Bristleback,False
Bristleback,Meepo,Lich,Vengeful Spirit,Slark,Sniper,Tinker,Windranger,Tusk,Beastmaster,True
Undying,Mirana,Faceless Void,Lone Druid,Visage,Medusa,Death Prophet,Io,Warlock,Crystal Maiden,False
Abaddon,Lycan,Lone Druid,Nature's Prophet,Enigma,Oracle,Weaver,Lich,Tinker,Lion,True
Kunkka,Bane,Earthshaker,Io,Night Stalker,Lone Druid,Ogre Magi,Enchantress,Leshrac,Storm Spirit,True
Phantom Lancer,Terrorblade,Rubick,Troll Warlord,Shadow Demon,Io,Necrophos,Arc Warden,Clinkz,Axe,True
Necrophos,Earthshaker,Death Prophet,Zeus,Batrider,Skywrath Mage,Elder Titan,Lycan,Ogre Magi,Anti-Mage,True
Ember Spirit,Troll Warlord,Ogre Magi,Juggernaut,Nature's Prophet,Lina,Axe,Alchemist,Treant Protector,Tidehunter,True
Pugna,Ursa,Timbersaw,Abaddon,Sven,Dazzle,Medusa,Necrophos,Lifestealer,Clockwerk,False
Skywrath Mage,Windranger,Venomancer,Lifestealer,Chaos Knight,Death Prophet,Clinkz,Ursa,Omniknight,Pudge,False
Bane,Invoker,Keeper of the Light,Sniper,Sven,Chen,Silencer,Bristleback,Riki,Brewmaster,True
Sven,Skywrath Mage,Storm Spirit,Pudge,Riki,Shadow Shaman,Vengeful Spirit,Phantom Assassin,Monkey King,Winter Wyvern,True
Alchemist,Meepo,Zeus,Leshrac,Slark,Viper,Nyx Assassin,Tinker,Lich,Sniper,False
Necrophos,Storm Spirit,Lich,Chaos Knight,Bloodseeker,Pugna,Clinkz,Bounty Hunter,Enigma,Monkey King,False
Faceless Void,Kunkka,Shadow Shaman,Broodmother,Monkey King,Outworld Devourer,Nyx Assassin,Pudge,Spirit Breaker,Chaos Knight,True
Spectre,Necrophos,Nyx Assassin,Disruptor,Pugna,Zeus,Troll Warlord,Kunkka,Pudge,Shadow Demon,False
Arc Warden,Kunkka,Queen of Pain,Witch Doctor,Sand King,Weaver,Pugna,Nyx Assassin,Phantom Lancer,Omniknight,False
Anti-Mage,Tinker,Outworld Devourer,Timbersaw,Sniper,Juggernaut,Sven,Riki,Queen of Pain,Viper,True
Nature's Prophet,Medusa,Queen of Pain,Vengeful Spirit,Tidehunter,Viper,Tusk,Winter Wyvern,Lich,Slark,True
Nyx Assassin,Necrophos,Earthshaker,Invoker,Monkey King,Slardar,Tusk,Zeus,Anti-Mage,Faceless Void,True
Treant Protector,Night Stalker,Monkey King,Skywrath Mage,Bane,Chaos Knight,Keeper of the Light,Alchemist,Anti-Mage,Riki,False
Lycan,Meepo,Ogre Magi,Pudge,Windranger,Phoenix,Ursa,Lina,Earthshaker,Morphling,True
Bloodseeker,Bristleback,Spirit Breaker,Storm Spirit,Shadow Shaman,Mirana,Earth Spirit,Night Stalker,Weaver,Timbersaw,True
Crystal Maiden,Wraith King,Anti-Mage,Tidehunter,Mirana,Chen,Monkey King,Nyx Assassin,Juggernaut,Drow Ranger,True
Pugna,Sven,Gyrocopter,Vengeful Spirit,Sniper,Zeus,Drow Ranger,Clockwerk,Huskar,Monkey King,False
Tidehunter,Lina,Zeus,Riki,Shadow Demon,Brewmaster,Gyrocopter,Drow Ranger,Venomancer,Bloodseeker,True
Ursa,Skywrath Mage,Meepo,Lich,Shadow Demon,Lifestealer,Ember Spirit,Beastmaster,Venomancer,Night Stalker,False
Necrophos,Nature's Prophet,Spirit Breaker,Phantom Assassin,Crystal Maiden,Bristleback,Windranger,Invoker,Spectre,Chaos Knight,True
Viper,Arc Warden,Night Stalker,Dazzle,Juggernaut,Axe,Keeper of the Light,Rubick,Chen,Medusa,True
Bane,Slark,Slardar,Dragon Knight,Omniknight,Rubick,Ursa,Terrorblade,Keeper of the Light,Bounty Hunter,True
Omniknight,Lone Druid,Bloodseeker,Silencer,Viper,Invoker,Treant Protector,Leshrac,Brewmaster,Juggernaut,True
Axe,Clinkz,Queen of Pain,Phantom Assassin,Sniper,Death Prophet,Luna,Lich,Wraith King,Viper,True
Sniper,Viper,Lycan,Witch Doctor,Lifestealer,Phantom Assassin,Magnus,Arc Warden,Earth Spirit,Terrorblade,True
Troll Warlord,Sniper,Clinkz,Phoenix,Invoker,Phantom Assassin,Slardar,Crystal Maiden,Slark,Bristleback,False
Medusa,Drow Ranger,Ursa,Leshrac,Windranger,Bane,Abaddon,Dragon Knight,Legion Commander,Viper,True
Spirit Breaker,Puck,Razor,Huskar,Ursa,Terrorblade,Wraith King,Tiny,Phantom Assassin,Queen of Pain,False
Necrophos,Clockwerk,Anti-Mage,Pudge,Slark,Mirana,Faceless Void,Witch Doctor,Batrider,Jakiro,False
Omniknight,Brewmaster,Batrider,Nature's Prophet,Sniper,Bounty Hunter,Phantom Assassin,Chaos Knight,Arc Warden,Viper,False
Keeper of the Light,Shadow Fiend,Bristleback,Earthshaker,Earth Spirit,Drow Ranger,Bane,Tidehunter,Skywrath Mage,Storm Spirit,False
Death Prophet,Keeper of the Light,Bounty Hunter,Jakiro,Nyx Assassin,Spectre,Razor,Bloodseeker,Phantom Assassin,Zeus,True
Phantom Assassin,Shadow Demon,Leshrac,Warlock,Winter Wyvern,Lycan,Windranger,Earth Spirit,Witch Doctor,Anti-Mage,False
Tiny,Venomancer,Bounty Hunter,Spirit Breaker,Wraith King,Luna,Queen of Pain,Timbersaw,Warlock,Night Stalker,True
Undying,Crystal Maiden,Templar Assassin,Wraith King,Phantom Assassin,Dazzle,Sven,Lycan,Bristleback,Mirana,True
Nature's Prophet,Ember Spirit,Omniknight,Disruptor,Sven,Invoker,Mirana,Meepo,Faceless Void,Bloodseeker,True
Timbersaw,Axe,Meepo,Keeper of the Light,Kunkka,Tidehunter,Venomancer,Spirit Breaker,Alchemist,Lion,True
Pudge,Troll Warlord,Huskar,Rubick,Weaver,Brewmaster,Tidehunter,Dark Seer,Underlord,Riki,True
Bloodseeker,Chen,Phantom Assassin,Earthshaker,Phoenix,Abaddon,Io,Tidehunter,Monkey King,Pudge,True
Luna,Keeper of the Light,Viper,Legion Commander,Chaos Knight,Juggernaut,Skywrath Mage,Death Prophet,Nyx Assassin,Pudge,True
Meepo,Slark,Necrophos,Witch Doctor,Monkey King,Shadow Fiend,Clockwerk,Pudge,Dragon Knight,Doom,True
Luna,Centaur Warrunner,Troll Warlord,Death Prophet,Gyrocopter,Ancient Apparition,Viper,Warlock,Brewmaster,Mirana,True
Underlord,Kunkka,Batrider,Axe,Lone Druid,Shadow Demon,Tusk,Io,Pugna,Oracle,True
Clinkz,Chaos Knight,Sand King,Terrorblade,Anti-Mage,Bristleback,Riki,Ursa,Slark,Tinker,True
Lion,Sniper,Axe,Outworld Devourer,Bloodseeker,Sand King,Monkey King,Drow Ranger,Phantom Assassin,Pudge,True
Nature's Prophet,Drow Ranger,Venomancer,Wraith King,Jakiro,Luna,Tidehunter,Bristleback,Riki,Invoker,True
